word,leixing,fanyi
need,v, 必须，需要；（表示应该或不得不做）有必要
analyzing,v, 分析，解析（analyze 的现在分词）
the,art, 这；那
characters,n, 特性；人物角色（character复数）
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
the,art, 这；那
coffee,n, 咖啡；咖啡豆；咖啡色
shop,n, 商店；店铺
most,adv, 最；非常，极其；最多；几乎
teenagers,n, 青少年（13至19岁，teenager的复数）
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
britain,n, 英国；不列颠
receive,vt, 收到；接待；接纳
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
from,prep, 从……起；从……开始；寄自，得自；来自；由……（制成）；（两地的距离）离；从；从……（到）；（使）免遭；由于；根据；与……（不同）；防；不在；从……来看；妨碍
their,pron, 他们的，她们的；它们的
parents,n, 父母；双亲（parent的复数）
report,n, 报告；报道；成绩单
by,prep, 由，被；通过；相差……；到……之前；在……旁边
the,art, 这；那
bank,n, 银行；岸；浅滩；储库
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
scotland,n, 苏格兰
interviewed,v, 面试；接见；会见（interview的过去式）
over,adv, 倒下；翻转；穿过；完全覆盖；以上；大于；再；结束；改变；完毕；仔细地
young,adj, 年轻的；初期的；没有经验的
people,n, 人；人类；民族；公民
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
britain,n, 英国；不列颠
and,conj, 和，与；就；而且；但是；然后
found,vt, 创立，建立；创办
that,det, 那，那个；那种
get,vt, 使得；获得；受到；变成
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
different,adj, 不同的；个别的，与众不同的
families,n, 家庭（family的复数）；家族
give,vt, 给；产生；让步；举办；授予
different,adj, 不同的；个别的，与众不同的
amounts,n, 数量，总额（amount的复数）
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
the,art, 这；那
average,n, 平均；平均数；（海损的）平均分担；平均水平；（按保单规定应付赔偿额的）降减
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
eight,num, 八；八个；第八；八岁；八点
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
fifteen,n, 十五；十五个；十五人组成的橄榄球队
year,n, 年；年度；历年；年纪；一年的期间；某年级的学生
olds,n, 老者（old的复数形式）
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
the,art, 这；那
uk,abbr, 联合王国（United Kingdom）
is,v, 是（be的三单形式）
about,adv, 大约；将近；到处；（特定位置）四下；闲着；周围；掉头
week,n, 周，星期
children,n, 孩子们（child的复数）
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
scotland,n, 苏格兰
receive,vt, 收到；接待；接纳
slightly,adv, 些微地，轻微地；纤细地，瘦小的
more,adv, 更多；此外；更大程度地
than,conj, （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）
the,art, 这；那
national,adj, 国家的；国民的；民族的；国立的
average,n, 平均；平均数；（海损的）平均分担；平均水平；（按保单规定应付赔偿额的）降减
and,conj, 和，与；就；而且；但是；然后
get,vt, 使得；获得；受到；变成
the,art, 这；那
most,adv, 最；非常，极其；最多；几乎
teenagers,n, 青少年（13至19岁，teenager的复数）
logically,adv, 逻辑上；合乎逻辑
get,vt, 使得；获得；受到；变成
more,adv, 更多；此外；更大程度地
money,n, 钱；货币；财富
than,conj, （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）
younger,adj, 更年轻的，年纪更小的；更未成熟的，更没经验的；更年轻人似的，更朝气的；小……（用于称呼与父母同名的年纪较小者）；平民地主产业的继承人的
children,n, 孩子们（child的复数）
some,det, 一些；某些；好些；少量；某个；算不上；大约；至少有一点
fifteen,n, 十五；十五个；十五人组成的橄榄球队
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
nineteen,num, 十九
year,n, 年；年度；历年；年纪；一年的期间；某年级的学生
olds,n, 老者（old的复数形式）
receive,vt, 收到；接待；接纳
more,adv, 更多；此外；更大程度地
than,conj, （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）
month,n, 月，一个月的时间
the,art, 这；那
report,n, 报告；报道；成绩单
found,vt, 创立，建立；创办
that,det, 那，那个；那种
many,det, 许多
children,n, 孩子们（child的复数）
save,vt, 节省；保存；储蓄；解救
at,prep, 在（表示存在或出现的地点、场所、位置、空间）；在……岁时；在……远；以（某种价格、速度等）；向，朝；处于……状态；处于最佳（或最差等）状态；达；因为；在……方面；响应；忙于；（武器）瞄准；用，以；（抓）住；从事于；冲 (某人……)
least,adj, 最小的；最少的（little的最高级）
quarter,n, 四分之一；地区；季度；一刻钟；两角五分；节
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
their,pron, 他们的，她们的；它们的
weekly,adj, 每周的；周刊的；一周一次的
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
and,conj, 和，与；就；而且；但是；然后
that,det, 那，那个；那种
more,adv, 更多；此外；更大程度地
boys,n, 男孩子们；小伙子们（boy的复数）
than,conj, （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）
girls,n, 女孩（girl的复数）
save,vt, 节省；保存；储蓄；解救
their,pron, 他们的，她们的；它们的
money,n, 钱；货币；财富
lots,n, 大量，许多；一堆；命运（lot的复数）
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
young,adj, 年轻的；初期的；没有经验的
people,n, 人；人类；民族；公民
have,vt, 有；让；拿；从事；允许
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
do,v, 做，干，办（某事）；行动，表现；顺利进行，进展；从事（工作）；执行（任务）；学习，研究；解答，解决，算出；制作，做出；演出，编排（戏剧等）；仿效，模仿；完成，做好；供给，提供；走过，行过；以……速度行进；达到（一定销售额）；参观，游览，旅行；处理；适合，足够；煮制；欺骗；惩罚；（从某地方）盗窃；护理；（非正式）吸（毒）；（非正式）性交；度过（一段时间）；导致，引起；（非正式）痛打，杀死；生长；整理
housework,n, 家务事
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
get,vt, 使得；获得；受到；变成
their,pron, 他们的，她们的；它们的
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
they,pron, 他们；它们；她们
help,vt, 帮助；促进；治疗；补救
at,prep, 在（表示存在或出现的地点、场所、位置、空间）；在……岁时；在……远；以（某种价格、速度等）；向，朝；处于……状态；处于最佳（或最差等）状态；达；因为；在……方面；响应；忙于；（武器）瞄准；用，以；（抓）住；从事于；冲 (某人……)
home,n, 家，住宅；产地；家乡；避难所
with,prep, 和……在一起；具有；用；反对；关于；包括；由于；随着；顺着；受雇于；虽然；支持；穿着；受……影响；表示与某物分离；由……负责
jobs,n, 工作（job的复数形式）
like,prep, 像，如同；符合……的方式；有……的特点；（用于询问）……怎么样；例如，好比
cleaning,n, 清洗；清除；去污；大败
and,conj, 和，与；就；而且；但是；然后
cooking,n, 烹饪
part,n, 部分；角色；零件；一些；片段
time,n, 时间；时代；次数；节拍；倍数
job,n, 工作；职业
is,v, 是（be的三单形式）
choice,n, 选择；选择权；精选品
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
teenagers,n, 青少年（13至19岁，teenager的复数）
who,pron, 谁；什么人
don,n, 先生，阁下；指导教师，大学教师；西班牙绅士，西班牙人；（非正式）黑手党头目
have,vt, 有；让；拿；从事；允许
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
or,conj, 或，或者；还是；要不然
who,pron, 谁；什么人
want,vt, 需要；希望；应该；缺少
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
earn,vt, 赚，赚得；获得，挣得；使得到；博得
extra,adj, 额外的；另外收费的；特大的
money,n, 钱；货币；财富
about,adv, 大约；将近；到处；（特定位置）四下；闲着；周围；掉头
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
teenagers,n, 青少年（13至19岁，teenager的复数）
have,vt, 有；让；拿；从事；允许
job,n, 工作；职业
popular,adj, 流行的，通俗的；受欢迎的；大众的；普及的
part,n, 部分；角色；零件；一些；片段
time,n, 时间；时代；次数；节拍；倍数
jobs,n, 工作（job的复数形式）
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
teenagers,n, 青少年（13至19岁，teenager的复数）
include,vt, 包含，包括
delivering,v, 发表（deliver的ing形式）；投递
newspapers,n, 报纸，报章（newspaper的复数）
shop,n, 商店；店铺
work,n, 工作；功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
and,conj, 和，与；就；而且；但是；然后
working,adj, 有工作的；从事普通工作的；工作上的；可行的；初步的；基本够用的；能运转的；（机器部件）操作的
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
restaurant,n, 餐馆；[经] 饭店
or,conj, 或，或者；还是；要不然
caf,abbr, 成本加运费价格 (cost and freight)
there,adv, 在那里；在那边；在那点上
are,v, 是（be的第二人称单复数现在式）
strict,adj, 严格的；绝对的；精确的；详细的
government,n, 政府；政体；管辖
laws,n, 法律；规章（law的复数）
about,adv, 大约；将近；到处；（特定位置）四下；闲着；周围；掉头
working,adj, 有工作的；从事普通工作的；工作上的；可行的；初步的；基本够用的；能运转的；（机器部件）操作的
hours,n, 小时（hour的复数形式）
only,adv, 只，仅仅；不料
children,n, 孩子们（child的复数）
over,adv, 倒下；翻转；穿过；完全覆盖；以上；大于；再；结束；改变；完毕；仔细地
can,aux, 能；能够；有机会；可能；被允许
work,n, 工作；功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
there,adv, 在那里；在那边；在那点上
are,v, 是（be的第二人称单复数现在式）
some,det, 一些；某些；好些；少量；某个；算不上；大约；至少有一点
exceptions,n, 免责条款（exception的复数形式）
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
example,n, 例子；榜样
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
actors,n, 演员，男演员；电影演员（actor的复数形式）
on,prep, 在……之上；向，朝；关于；在……时候；由……支撑；（身上）带着；一……就；吃，喝；接近；根据；挣……钱；以……支付；以……为燃料；在……中；作为……成员；借助（仪器或器械）；与……相比；增加；靠……服用药物；（由电台或电视）播放；忙碌于
school,n, 学校；学院；学派；鱼群
day,n, 一天；时期；白昼
they,pron, 他们；它们；她们
can,aux, 能；能够；有机会；可能；被允许
work,n, 工作；功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
maximum,n, [数] 极大，最大限度；最大量
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
hours,n, 小时（hour的复数形式）
day,n, 一天；时期；白昼
but,conj, 但是；而是；然而
not,adv, 表示否定，不
during,prep, 在…
school,n, 学校；学院；学派；鱼群
hours,n, 小时（hour的复数形式）
at,prep, 在（表示存在或出现的地点、场所、位置、空间）；在……岁时；在……远；以（某种价格、速度等）；向，朝；处于……状态；处于最佳（或最差等）状态；达；因为；在……方面；响应；忙于；（武器）瞄准；用，以；（抓）住；从事于；冲 (某人……)
weekends,adv, 在每周末
and,conj, 和，与；就；而且；但是；然后
during,prep, 在…
school,n, 学校；学院；学派；鱼群
holidays,adv, 每逢假日，在假日
they,pron, 他们；它们；她们
can,aux, 能；能够；有机会；可能；被允许
work,n, 工作；功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
hours,n, 小时（hour的复数形式）
the,art, 这；那
national,adj, 国家的；国民的；民族的；国立的
minimum,n, 最小值；最低限度；最小化；最小量
wage,n, 工资；报酬；代价；报应
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
people,n, 人；人类；民族；公民
aged,adj, 年老的；…岁的；老年人特有的
is,v, 是（be的三单形式）
per,prep, 每，每一；经；按照；（纹章）依……的方向
hour,n, 小时；钟头；课时；…点钟
year,n, 年；年度；历年；年纪；一年的期间；某年级的学生
olds,n, 老者（old的复数形式）
must,aux, 必须；一定；应该，得
earn,vt, 赚，赚得；获得，挣得；使得到；博得
minimum,n, 最小值；最低限度；最小化；最小量
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
there,adv, 在那里；在那边；在那点上
isn,abbr, 信息系统网络（InformationSystemNetwork）；综合业务网（IntegratedServicesNetwork）；国际信令网（InternationalSignalingNetwork）；内码（internal statement number）
national,adj, 国家的；国民的；民族的；国立的
minimum,n, 最小值；最低限度；最小化；最小量
waged,adj, 有职业的；有工作的；支付工资的
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
people,n, 人；人类；民族；公民
under,prep, 在……下面；在……表面下；在……的后面；（职务、级别）低于；少于；比……年轻；由……控制；根据；在……过程中；受……影响；承受着；以（某一名字）；在……项下；在（某个系统）下；在……期间；在……生存条件下；栽有；在……掌权期间；在……手下工作
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
britain,n, 英国；不列颠
some,det, 一些；某些；好些；少量；某个；算不上；大约；至少有一点
children,n, 孩子们（child的复数）
and,conj, 和，与；就；而且；但是；然后
teenagers,n, 青少年（13至19岁，teenager的复数）
have,vt, 有；让；拿；从事；允许
bank,n, 银行；岸；浅滩；储库
account,n, 账户；解释；账目，账单；理由；描述
there,adv, 在那里；在那边；在那点上
is,v, 是（be的三单形式）
no,adv, 不，完全不
legal,adj, 法律的；合法的；法定的；依照法律的
age,n, 年龄；时代；寿命，使用年限；阶段
limit,n, 限制；限度；界线
at,prep, 在（表示存在或出现的地点、场所、位置、空间）；在……岁时；在……远；以（某种价格、速度等）；向，朝；处于……状态；处于最佳（或最差等）状态；达；因为；在……方面；响应；忙于；（武器）瞄准；用，以；（抓）住；从事于；冲 (某人……)
which,pron, 哪一个，哪一些；（指明事物）……的那个，……的那些；（进一步提供有关某事物的信息）那个，那些
you,pron, 你；你们
can,aux, 能；能够；有机会；可能；被允许
open,adj, 公开的；敞开的；空旷的；坦率的；营业着的
bank,n, 银行；岸；浅滩；储库
account,n, 账户；解释；账目，账单；理由；描述
but,conj, 但是；而是；然而
bank,n, 银行；岸；浅滩；储库
manager,n, 经理；管理人员
can,aux, 能；能够；有机会；可能；被允许
decide,vt, 决定；解决；判决
whether,conj, 是否；不论
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
allow,vt, 允许；给予；认可
child,n, 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
or,conj, 或，或者；还是；要不然
young,adj, 年轻的；初期的；没有经验的
person,n, 人；身体；容貌，外表；人称
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
open,adj, 公开的；敞开的；空旷的；坦率的；营业着的
an,art, 一（在元音音素前）
account,n, 账户；解释；账目，账单；理由；描述
parents,n, 父母；双亲（parent的复数）
can,aux, 能；能够；有机会；可能；被允许
put,vt, 放；表达；移动；安置；赋予
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
directly,adv, 直接地；立即；马上；正好地；坦率地
into,prep, 到……里面；触及，碰撞；朝，向；转向；关于；转变成；造成（某种结果）；除；对……很有兴趣
their,pron, 他们的，她们的；它们的
child,n, 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
bank,n, 银行；岸；浅滩；储库
account,n, 账户；解释；账目，账单；理由；描述
and,conj, 和，与；就；而且；但是；然后
then,adv, 然后；那么；于是；当时；此外
children,n, 孩子们（child的复数）
can,aux, 能；能够；有机会；可能；被允许
use,n, 使用；用途；发挥
it,pron, [指无生命的东西、动物、植物]它；这；那
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
pay,vt, 支付，付；偿还，补偿；给予
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
things,n, 事物（thing的复数形式）；用品；形势
without,prep, 没有；不和……在一起；不带；在……外部
carrying,v, 运送，输送；携带；传染，传播；能记住；承重；承担责任；具有（品质或特点）；带来；获得支持或通过；登载；销售；怀孕；进位（carry 的现在分词）
money,n, 钱；货币；财富
saving,n, 节约；挽救；存款
or,conj, 或，或者；还是；要不然
spending,n, 花费；开销
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
working,adj, 有工作的；从事普通工作的；工作上的；可行的；初步的；基本够用的；能运转的；（机器部件）操作的
part,n, 部分；角色；零件；一些；片段
time,n, 时间；时代；次数；节拍；倍数
and,conj, 和，与；就；而且；但是；然后
dealing,v, 发（纸牌）；发放；买卖；与……有关；（非正式）买卖毒品（deal 的现在分词）
with,prep, 和……在一起；具有；用；反对；关于；包括；由于；随着；顺着；受雇于；虽然；支持；穿着；受……影响；表示与某物分离；由……负责
banks,n, [金融] 银行；岸，[水利] 堤（bank的复数形式）；斜床
are,v, 是（be的第二人称单复数现在式）
all,det, 所有；全部；（与单数名词连用，表示某事在某段时间内持续发生）全部的；极度；唯一；任何
parts,n, [机] 零件，部件
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
the,art, 这；那
process,n, （为达到某一目标的）过程；（自然变化的）过程；工艺流程；诉讼程序；传票；突起；进展；（发型）直发式
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
becoming,adj, 相配的；合适的；得体的
financially,adv, 财政上；金融上
independent,adj, 独立的；单独的；无党派的；不受约束的
adult,adj, 成年的；成熟的
and,conj, 和，与；就；而且；但是；然后
having,v, 有，拥有（have 的现在分词）
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
earn,vt, 赚，赚得；获得，挣得；使得到；博得
and,conj, 和，与；就；而且；但是；然后
look,vt, 看；期待；注意；面向；看上去像
after,prep, 在……之后；在……身后；反复；跟随；追求；以……命名
your,pron, 你的，你们的
own,vt, 拥有；承认
money,n, 钱；货币；财富
the,art, 这；那
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
child,n, 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
scotland,n, 苏格兰
per,prep, 每，每一；经；按照；（纹章）依……的方向
week,n, 周，星期
may,aux, 可以，能够；可能，也许；祝，愿；会，能
be,vt, 是； 有，存在； 做，成为； 发生
which,pron, 哪一个，哪一些；（指明事物）……的那个，……的那些；（进一步提供有关某事物的信息）那个，那些
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
the,art, 这；那
following,adj, 其次的，接着的；下面的；（风）顺的
is,v, 是（be的三单形式）
true,adj, 真实的；正确的
according,adj, 相符的；相应的；一致的
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
the,art, 这；那
passage,n, 一段（文章）；走廊；通路；通过；旅程，行程；船费
more,adv, 更多；此外；更大程度地
girls,n, 女孩（girl的复数）
than,conj, （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）
boys,n, 男孩子们；小伙子们（boy的复数）
save,vt, 节省；保存；储蓄；解救
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
children,n, 孩子们（child的复数）
under,prep, 在……下面；在……表面下；在……的后面；（职务、级别）低于；少于；比……年轻；由……控制；根据；在……过程中；受……影响；承受着；以（某一名字）；在……项下；在（某个系统）下；在……期间；在……生存条件下；栽有；在……掌权期间；在……手下工作
are,v, 是（be的第二人称单复数现在式）
not,adv, 表示否定，不
allowed,v, 允许，认可；给予，酌留（机会、时间）；允许进入（或出去、通过）；使可能；承认，接受；（非正式）断言，认为（allow 的过去式和过去分词）
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
work,n, 工作；功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
most,adv, 最；非常，极其；最多；几乎
british,adj, 英国的；英国人的；大不列颠的
teenagers,n, 青少年（13至19岁，teenager的复数）
have,vt, 有；让；拿；从事；允许
part,n, 部分；角色；零件；一些；片段
time,n, 时间；时代；次数；节拍；倍数
job,n, 工作；职业
year,n, 年；年度；历年；年纪；一年的期间；某年级的学生
old,adj, 陈旧的，古老的；年老的
can,aux, 能；能够；有机会；可能；被允许
work,n, 工作；功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
hours,n, 小时（hour的复数形式）
on,prep, 在……之上；向，朝；关于；在……时候；由……支撑；（身上）带着；一……就；吃，喝；接近；根据；挣……钱；以……支付；以……为燃料；在……中；作为……成员；借助（仪器或器械）；与……相比；增加；靠……服用药物；（由电台或电视）播放；忙碌于
saturdays,adv, 每逢星期六
the,art, 这；那
best,adj, 最好的；最愉快的；最合适的
title,n, 冠军；标题；头衔；权利；字幕
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
the,art, 这；那
passage,n, 一段（文章）；走廊；通路；通过；旅程，行程；船费
is,v, 是（be的三单形式）
finance,n, 财政，财政学；金融
and,conj, 和，与；就；而且；但是；然后
independence,n, 独立性，自立性；自主
eyes,n, 眼睛（eye的复数）
on,prep, 在……之上；向，朝；关于；在……时候；由……支撑；（身上）带着；一……就；吃，喝；接近；根据；挣……钱；以……支付；以……为燃料；在……中；作为……成员；借助（仪器或器械）；与……相比；增加；靠……服用药物；（由电台或电视）播放；忙碌于
your,pron, 你的，你们的
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
the,art, 这；那
importance,n, 价值；重要；重大；傲慢
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
part,n, 部分；角色；零件；一些；片段
time,n, 时间；时代；次数；节拍；倍数
jobs,n, 工作（job的复数形式）
british,adj, 英国的；英国人的；大不列颠的
teenagers,n, 青少年（13至19岁，teenager的复数）
and,conj, 和，与；就；而且；但是；然后
their,pron, 他们的，她们的；它们的
pocket,n, 口袋；钱；容器
money,n, 钱；货币；财富
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
reflecting,adj, 反射的；沉思的
on,prep, 在……之上；向，朝；关于；在……时候；由……支撑；（身上）带着；一……就；吃，喝；接近；根据；挣……钱；以……支付；以……为燃料；在……中；作为……成员；借助（仪器或器械）；与……相比；增加；靠……服用药物；（由电台或电视）播放；忙碌于
the,art, 这；那
events,n, 事件；公开活动，社交场合；比赛项目（event 的复数）
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
my,pron, 我的
life,n, 生活，生存；寿命
that,det, 那，那个；那种
have,vt, 有；让；拿；从事；允许
impacted,adj, 压紧的；结实的；嵌入的；（人口）稠密的
me,pron, 我（宾格）
